"","X","...1","Kingdom","Phylum","Class","Order","Family","GENUS","Species","primary_lifestyle","Secondary_lifestyle","Decay_type_template","Specific_hosts","Fruitbody_type_template","Ectomycorrhiza_exploration_type_template","Ectomycorrhiza_lineage_template"
"14","sp16",16,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","terrestris","ectomycorrhizal",NA,NA,NA,"clavarioid","medium-distance_smooth","/tomentella-thelephora"
"15","sp17",17,"Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Auriculariaceae","Auricularia",NA,"wood_saprotroph",NA,NA,NA,"tremelloid",NA,NA
"16","sp18",18,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","ellisii","ectomycorrhizal",NA,NA,NA,"corticioid","medium-distance_smooth","/tomentella-thelephora"
"17","sp19",19,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA,"unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
"18","sp20",20,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","terrestris","ectomycorrhizal",NA,NA,NA,"clavarioid","medium-distance_smooth","/tomentella-thelephora"
"19","sp21",21,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Astraeaceae","Astraeus",NA,"ectomycorrhizal",NA,NA,NA,"gasteroid","long-distance","/pisolithus-scleroderma"
"20","sp22",22,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber",NA,"ectomycorrhizal",NA,NA,NA,"gasteroid-hypogeous","short-distance_delicate","/tuber-helvella"
"21","sp23",23,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Choiromyces",NA,"ectomycorrhizal",NA,NA,NA,"gasteroid-hypogeous","contact","/tuber-helvella"
"22","sp24",24,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Leotiaceae","Pezoloma","ericae","root_endophyte","soil_saprotroph",NA,NA,"apothecium_(hymenium_on_surface)",NA,NA
"23","sp25",25,"Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Auriculariaceae","Auricularia",NA,"wood_saprotroph",NA,NA,NA,"tremelloid",NA,NA
"24","sp27",27,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","ellisii","ectomycorrhizal",NA,NA,NA,"corticioid","medium-distance_smooth","/tomentella-thelephora"
"25","sp28",28,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Scleroderma","cepa","ectomycorrhizal",NA,NA,NA,"gasteroid","long-distance","/pisolithus-scleroderma"
